ObjectID,TrackID,Mean_YFP,Area_YFP,Slice,Mean_CFP,Area_CFP,YFP/CFP_Ratio
3255,18.0,227.9,306,7,157.3,306,1.448823903369358
3629,18.0,242.5,375,8,162.5,375,1.4923076923076923
4150,18.0,267.9,342,9,174.6,342,1.5343642611683848
4681,18.0,290.8,339,10,184.5,339,1.5761517615176153
5235,18.0,307.6,325,11,189.1,325,1.6266525647805397
5943,18.0,320.7,337,12,194.4,337,1.6496913580246912
6603,18.0,339.0,427,13,204.6,427,1.656891495601173
6964,18.0,331.1,738,14,198.9,738,1.6646556058320765
7592,18.0,333.3,759,15,203.1,759,1.6410635155096014
8230,18.0,349.0,734,16,211.1,734,1.6532449076267173
8813,18.0,350.9,701,17,213.0,701,1.6474178403755868
9228,18.0,350.6,681,18,211.7,681,1.6561171469059992
9805,18.0,352.1,690,19,212.2,690,1.6592836946277099
10280,18.0,355.8,697,20,211.6,697,1.681474480151229
10773,18.0,363.5,666,21,213.8,666,1.7001870907390084
11365,18.0,350.4,697,22,207.6,697,1.6878612716763006
11818,18.0,355.3,665,23,209.7,665,1.6943252265140678
12260,18.0,354.3,667,24,212.8,667,1.6649436090225564
12817,18.0,360.3,668,25,215.2,668,1.6742565055762084
13417,18.0,363.5,667,26,215.5,667,1.6867749419953597
13758,18.0,361.7,677,27,212.7,677,1.7005171603196991
14314,18.0,369.4,642,28,214.3,642,1.723751749883341
15030,18.0,365.1,624,29,210.2,624,1.7369172216936253
15501,18.0,363.1,611,30,210.4,611,1.7257604562737643
16109,18.0,373.5,584,31,212.5,584,1.7576470588235293
16484,18.0,375.8,616,32,213.7,616,1.7585400093589145
17123,18.0,371.9,594,33,213.2,594,1.7443714821763603
17489,18.0,368.7,631,34,214.9,631,1.7156817124243833
17981,18.0,361.9,631,35,208.9,631,1.7324078506462421
18538,18.0,361.8,601,36,211.8,601,1.708215297450425
19079,18.0,351.7,497,37,211.2,497,1.6652462121212122
19664,18.0,356.8,465,38,212.5,465,1.6790588235294117
20283,18.0,348.7,443,39,209.2,443,1.6668260038240919
20732,18.0,362.6,484,40,213.4,484,1.6991565135895033
21383,18.0,371.2,468,41,212.8,468,1.744360902255639
21838,18.0,357.6,496,42,208.2,496,1.7175792507204612
